"날짜","시간","경기","구장","경기날짜및시간","원정팀","원점팀_점수","홈팀_점수","홈팀","비고","홈팀_결과","원정팀_결과"
"03.06(토)","13:00","LG 3vs2 넥센","목동","2010-03-06 13:00","LG",3,2,"넥센","시범경기","패","승"
"","13:00","두산 5vs0 SK","문학","2010-03-06 13:00","두산",5,0,"SK","시범경기","패","승"
"","13:00","롯데 12vs1 한화","대전","2010-03-06 13:00","롯데",12,1,"한화","시범경기","패","승"
"","13:00","삼성 4vs1 KIA","무등","2010-03-06 13:00","삼성",4,1,"KIA","시범경기","패","승"
"03.07(일)","13:00","LG 1vs2 넥센","목동","2010-03-07 13:00","LG",1,2,"넥센","시범경기","승","패"
"","13:00","두산 3vs4 SK","문학","2010-03-07 13:00","두산",3,4,"SK","시범경기","승","패"
"","13:00","롯데 4vs1 한화","대전","2010-03-07 13:00","롯데",4,1,"한화","시범경기","패","승"
"","13:00","삼성 2vs5 KIA","무등","2010-03-07 13:00","삼성",2,5,"KIA","시범경기","승","패"
"03.09(화)","13:00","두산 2vs6 넥센","목동","2010-03-09 13:00","두산",2,6,"넥센","시범경기","승","패"
"","13:00","LG 3vs1 SK","문학","2010-03-09 13:00","LG",3,1,"SK","시범경기","패","승"
"","13:00","KIA 9vs3 한화","대전","2010-03-09 13:00","KIA",9,3,"한화","시범경기","패","승"
"","13:00","롯데 5vs3 삼성","대구","2010-03-09 13:00","롯데",5,3,"삼성","시범경기","패","승"
"","13:00","두산 6vs3 한화","대전","2010-03-11 13:00","두산",6,3,"한화","시범경기","패","승"
"","13:00","LG 0vs4 삼성","대구","2010-03-11 13:00","LG",0,4,"삼성","시범경기","승","패"
"","13:00","넥센 4vs2 KIA","무등","2010-03-11 13:00","넥센",4,2,"KIA","시범경기","패","승"
"03.12(금)","13:00","롯데 2vs1 SK","문학","2010-03-12 13:00","롯데",2,1,"SK","시범경기","패","승"
"","13:00","두산 4vs8 한화","대전","2010-03-12 13:00","두산",4,8,"한화","시범경기","승","패"
"","13:00","LG 2vs9 삼성","대구","2010-03-12 13:00","LG",2,9,"삼성","시범경기","승","패"
"","13:00","넥센 2vs4 KIA","무등","2010-03-12 13:00","넥센",2,4,"KIA","시범경기","승","패"
"03.13(토)","13:00","LG 9vs5 두산","잠실","2010-03-13 13:00","LG",9,5,"두산","시범경기","패","승"
"","13:00","넥센 7vs9 SK","문학","2010-03-13 13:00","넥센",7,9,"SK","시범경기","승","패"
"","13:00","한화 6vs5 삼성","대구","2010-03-13 13:00","한화",6,5,"삼성","시범경기","패","승"
"","13:00","롯데 8vs6 KIA","무등","2010-03-13 13:00","롯데",8,6,"KIA","시범경기","패","승"
"03.14(일)","13:00","LG 8vs9 두산","잠실","2010-03-14 13:00","LG",8,9,"두산","시범경기","승","패"
"","13:00","넥센 3vs1 SK","문학","2010-03-14 13:00","넥센",3,1,"SK","시범경기","패","승"
"","13:00","한화 3vs4 삼성","대구","2010-03-14 13:00","한화",3,4,"삼성","시범경기","승","패"
"","13:00","롯데 1vs2 KIA","무등","2010-03-14 13:00","롯데",1,2,"KIA","시범경기","승","패"
"03.16(화)","13:00","삼성 5vs6 두산","잠실","2010-03-16 13:00","삼성",5,6,"두산","시범경기","승","패"
"","13:00","넥센 11vs6 한화","대전","2010-03-16 13:00","넥센",11,6,"한화","시범경기","패","승"
"","13:00","LG 3vs5 롯데","사직","2010-03-16 13:00","LG",3,5,"롯데","시범경기","승","패"
"","13:00","SK 4vs2 KIA","무등","2010-03-16 13:00","SK",4,2,"KIA","시범경기","패","승"
"03.17(수)","13:00","삼성 4vs1 두산","잠실","2010-03-17 13:00","삼성",4,1,"두산","시범경기","패","승"
"","13:00","LG 2vs11 롯데","사직","2010-03-17 13:00","LG",2,11,"롯데","시범경기","승","패"
"","13:00","SK 10vs9 KIA","무등","2010-03-17 13:00","SK",10,9,"KIA","시범경기","패","승"
"03.18(목)","13:00","SK 3vs0 삼성","대구","2010-03-18 13:00","SK",3,0,"삼성","시범경기","패","승"
"","13:00","넥센 3vs5 롯데","사직","2010-03-18 13:00","넥센",3,5,"롯데","시범경기","승","패"
"","13:00","두산 6vs7 KIA","무등","2010-03-18 13:00","두산",6,7,"KIA","시범경기","승","패"
"03.19(금)","13:00","한화 9vs10 LG","잠실","2010-03-19 13:00","한화",9,10,"LG","시범경기","승","패"
"","13:00","SK 6vs14 삼성","대구","2010-03-19 13:00","SK",6,14,"삼성","시범경기","승","패"
"","13:00","넥센 0vs7 롯데","사직","2010-03-19 13:00","넥센",0,7,"롯데","시범경기","승","패"
"","13:00","두산 8vs7 KIA","무등","2010-03-19 13:00","두산",8,7,"KIA","시범경기","패","승"
"","13:00","넥센 3vs5 삼성","대구","2010-03-20 13:00","넥센",3,5,"삼성","시범경기","승","패"
"","13:00","두산 5vs3 롯데","사직","2010-03-20 13:00","두산",5,3,"롯데","시범경기","패","승"
"03.21(일)","13:00","KIA 7vs2 LG","잠실","2010-03-21 13:00","KIA",7,2,"LG","시범경기","패","승"
"","13:00","한화 4vs3 SK","문학","2010-03-21 13:00","한화",4,3,"SK","시범경기","패","승"
"","13:00","넥센 4vs6 삼성","대구","2010-03-21 13:00","넥센",4,6,"삼성","시범경기","승","패"
"","13:00","두산 6vs7 롯데","사직","2010-03-21 13:00","두산",6,7,"롯데","시범경기","승","패"
"03.27(토)","14:00","KIA 3vs8 두산","잠실","2010-03-27 14:00","KIA",3,8,"두산","정규시즌","승","패"
"","14:00","한화 2vs3 SK","문학","2010-03-27 14:00","한화",2,3,"SK","정규시즌","승","패"
"","14:00","LG 7vs5 삼성","대구","2010-03-27 14:00","LG",7,5,"삼성","정규시즌","패","승"
"","14:00","넥센 3vs2 롯데","사직","2010-03-27 14:00","넥센",3,2,"롯데","정규시즌","패","승"
"03.28(일)","14:00","한화 3vs6 SK","문학","2010-03-28 14:00","한화",3,6,"SK","정규시즌","승","패"
"","14:00","LG 4vs9 삼성","대구","2010-03-28 14:00","LG",4,9,"삼성","정규시즌","승","패"
"","14:00","넥센 11vs3 롯데","사직","2010-03-28 14:00","넥센",11,3,"롯데","정규시즌","패","승"
"","14:15","KIA 9vs10 두산","잠실","2010-03-28 14:15","KIA",9,10,"두산","정규시즌","승","패"
"03.30(화)","18:30","SK 3vs0 LG","잠실","2010-03-30 18:30","SK",3,0,"LG","정규시즌","패","승"
"","18:30","두산 7vs2 넥센","목동","2010-03-30 18:30","두산",7,2,"넥센","정규시즌","패","승"
"","18:30","롯데 3vs13 한화","대전","2010-03-30 18:30","롯데",3,13,"한화","정규시즌","승","패"
"","18:30","삼성 6vs1 KIA","무등","2010-03-30 18:30","삼성",6,1,"KIA","정규시즌","패","승"
